video_name,answer,question,question_breakdown
v_JspVuT6rsLA,The boy is playing the violin in a well-lit room with two pianos at his back and a woman playing one of the pianos.,What is the instrument the boy is playing in the video?,"1. Identify the boy in the video.
2. Observe the boy's hands and body position to determine what he is holding.
3. Analyze the shape, size, and features of the object the boy is playing.
4. Look for any distinctive characteristics that may indicate the type of instrument (e.g., strings, keys, percussion).
5. Consider the context of the video (e.g., setting, other instruments present) to help identify the instrument.
6. Compare the observed object with known instruments to make a determination."
v_4Gx_8vuxzAk,The woman is using wood polish and a towel to clean the coffee table.,What is the woman using to clean the coffee table in the video?,"1. Identify the woman in the video.
2. Observe the action the woman is performing related to cleaning.
3. Focus on the object or tool the woman is using during the cleaning process.
4. Determine the specific item being used to clean the coffee table.
5. Analyze the context of the cleaning action (e.g., type of cleaning, surface being cleaned).
6. Summarize the findings regarding the object or tool used by the woman."
v_4oi6dXfpJS4,The gymnast is wearing a pink outfit when she mounts the balance beam.,What outfit is the gymnast wearing when she mounts the balance beam?,"1. Identify the gymnast in the scene.
2. Observe the moment when the gymnast is mounting the balance beam.
3. Focus on the details of the outfit the gymnast is wearing.
4. Note the colors, patterns, and style of the outfit.
5. Look for any accessories or additional items the gymnast may have on.
6. Describe the overall appearance of the outfit in context to the balance beam."
v_j6OcN4OQZVM,The breakdancers in the video are wearing black outfits.,What is the color of the outfits worn by the breakdancers in the video?,
v_Il9Ara3IqeY,"The man is standing on an elevated section of Marble Bridge, playing a flute. He is wearing a black polo shirt and a rice hat. The Palace Museum can be seen at his back. People are walking around Meridian Gate Square, some of whom are walking under an umbrella. He continues playing the flute until the end of the video.",Can you describe the scene and activity of the man on Marble Bridge during daytime?,"1. Identify the location: Marble Bridge.
2. Determine the time of day: daytime.
3. Visualize the scene: consider the surroundings of Marble Bridge, including architecture, landscape, and any notable features.
4. Focus on the subject: a man on the bridge.
5. Describe the man's appearance: consider clothing, posture, and any accessories.
6. Observe the activity: determine what the man is doing (e.g., walking, standing, taking photos).
7. Include details about the environment: note the weather, lighting, and any other people or elements present in the scene.
8. Summarize the overall atmosphere: convey the mood or feeling of the scene during the daytime."
v_wjr5M-6qEWI,"The referee is sitting behind a table at the edge of the court, and there are seats for spectators near the walls.",Can you describe the seating arrangement in the arena?,"1. Identify the arena layout and structure.
2. Locate the different sections of seating (e.g., general admission, VIP, etc.).
3. Determine the arrangement of seats within each section (e.g., rows, aisles).
4. Note any special features of the seating arrangement (e.g., accessibility options, reserved seating).
5. Observe the overall capacity of the arena and how it relates to the seating arrangement.
6. Describe the proximity of the seating to the stage or performance area.
7. Highlight any visual indicators or signage related to seating (e.g., seat numbers, section labels)."
v_W4mJsJGa0CY,The man loses balance and slips to the floor during his routine.,Does the man experience any difficulty while performing on the pommel horse?,"1. Identify the man performing on the pommel horse.
2. Observe the man's body posture and movements while on the pommel horse.
3. Look for any signs of struggle or difficulty in his performance.
4. Note any specific actions that may indicate difficulty, such as wobbling, loss of balance, or hesitation.
5. Assess the overall fluidity and control of the man's movements during the performance.
6. Determine if there are any external factors (e.g., equipment, environment) that may affect his performance.
7. Summarize the observations to conclude whether the man experiences any difficulty while performing."
v_wcxEkMoOmBk,"Julie, wearing a green sweater, is introduced first in the video while speaking to the camera in a well-lit hair salon, with a round table-top swivel mirror next to her and another woman seated next to her.","Who is introduced first in the video, and what is she wearing?","1. Identify the first person introduced in the video.
2. Observe and note the clothing of the identified person.
3. Describe the clothing in detail, including color, style, and any notable features."
v_sbnF7VVeopM,The person in the chef uniform is washing dishes over a well-lit counter using steel wool and handheld kitchen faucet sprayer to rinse them.,What activity is the person in the chef uniform performing?,"1. Identify the person wearing the chef uniform in the visual content.
2. Observe the context and environment surrounding the person.
3. Analyze the actions being performed by the person in the chef uniform.
4. Look for any tools or ingredients that the person may be using.
5. Determine if there are any specific cooking techniques or processes being demonstrated.
6. Note any interactions with other individuals or elements in the scene.
7. Summarize the overall activity based on the observations made in the previous steps."
v_WOUkPgHtt4E,"The boy is wearing a white vest and dark blue shorts and is performing different maneuvers on the armbar in a gymnasium with cream color walls, blue mattresses on the floor, windows on the left side, armbars, balance beams, a small wall clock on the left side, trophies kept on the edge of the window and other children practicing around him.",Can you describe the scene in the gymnasium with the boy practicing on the armbar?,"1. Identify the setting: Focus on the gymnasium environment.
2. Describe the physical features of the gymnasium: Note the size, layout, and any notable equipment or decorations.
3. Locate the boy: Determine where the boy is positioned within the gymnasium.
4. Describe the boy: Note his appearance, clothing, and any relevant physical attributes.
5. Observe the boy's actions: Focus on the specific movements and techniques he is using while practicing the armbar.
6. Capture the atmosphere: Describe the overall mood or energy in the gymnasium during the practice.
7. Include any additional elements: Mention other people present, sounds, or any other activities happening in the gymnasium."
v_TZOhIMjwEE8,"The woman is wearing a white vest, grey trousers, and white sports shoes while lawn-mowing.",Can you describe the lawn-mowing outfit of the woman in the video?,"1. Identify the woman in the video.
2. Observe the overall outfit she is wearing.
3. Note the color of her clothing.
4. Describe the type of clothing (e.g., shirt, pants, shorts, dress).
5. Look for any specific patterns or designs on her clothing.
6. Identify any accessories she is wearing (e.g., hat, gloves, sunglasses).
7. Observe the type of footwear she has on.
8. Consider any additional items related to lawn-mowing (e.g., gardening tools, apron).
9. Summarize the key elements of her lawn-mowing outfit."
v_qU4GmCN2e1Y,The man performing on the parallel bars is wearing a dark blue vest and pants.,Can you describe the clothing worn by the man performing on the parallel bars?,"1. Identify the man performing on the parallel bars in the image or video.
2. Focus on the clothing worn by the man.
3. Observe the type of clothing (e.g., shirt, shorts, leotard).
4. Note the colors and patterns of the clothing.
5. Look for any additional accessories (e.g., shoes, headbands).
6. Describe the fit and style of the clothing (e.g., tight-fitting, loose).
7. Consider any logos or branding present on the clothing.
8. Summarize the overall appearance of the clothing worn by the man."
v_mLFjww64sX8,The barber is using a blade on the customer's head while standing on the left of the customer.,Where is the barber standing in relation to the customer?,"1. Identify the barber in the visual scene.
2. Identify the customer in the visual scene.
3. Determine the positions of both the barber and the customer.
4. Analyze the spatial relationship between the barber and the customer.
5. Describe the direction and distance of the barber in relation to the customer."
